"","X","QUD","context","item","number","quantifier","response","slide_number","trial_type","language","enjoyment","age","gender","education","comments","describe","school","classes","college","lived","years","family","level","Browser","OS","screenH","screenW","time_in_minutes","participant_id","assess"
"248",0,"none","without","mariposas","two","every",1,3,"one_slider","Español",2,"24","Male",2,"","SpanSpan","mid","yes","nocollege","both8","mostlive","spaneng","native","Firefox","Windows",1080,1920,3.01701666666667,248,"Yes"
"250",0,"none","with","leones","four","every",0.85,3,"one_slider","español",2,"37","Female",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Safari","Mac",1152,2048,2.70081666666667,250,"Yes"
"253",0,"all","without","ranas","four","every",1,3,"one_slider","España",1,"21","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,1.98221666666667,253,"Yes"
"255",0,"all","with","leones","two","every",1,3,"one_slider","español",2,"44","Female",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,3.18228333333333,255,"No"
"256",0,"none","without","leones","two","every",0.97,3,"one_slider","español",1,"","",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1360,2.32431666666667,256,""
"257",0,"many","without","dinosaurios","four","every",0,3,"one_slider","Español",2,"35","Female",3,"","SpanEng","most","yes","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",864,1536,3.1717,257,"Yes"
"258",0,"all","without","leones","four","every",0.63,3,"one_slider","Español",1,"18","Male",1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.30066666666667,258,"Yes"
"259",0,"all","with","ranas","four","every",0.7,3,"one_slider","Español",1,"25","Male",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.71858333333333,259,"Yes"
"264",0,"all","with","mariposas","four","every",0.34,3,"one_slider","Español",2,"20","Male",3,"Disfrutè el experimento, pasen una bonita semana","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,2.99766666666667,264,"Yes"
"266",0,"many","without","leones","two","every",1,3,"one_slider","español",2,"27","Female",4,"El cuento parece dirigido a niños, pero la pregunta, al ser una doble negación, no es algo que pueda ser respondido tan fácilmente por niños pequeños.","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.2679,266,"Yes"
"268",0,"none","without","ranas","four","every",0.03,3,"one_slider","Español",2,"29","Male",3,"Resulto ser interesante,aunque no supe que fue lo esperado.","SpanSpan","none","no","mostsem","both8","mostlive","span","native","Chrome","Windows",768,1360,3.80191666666667,268,"Yes"
"270",0,"many","with","mariposas","four","every",0.01,3,"one_slider","España",2,"25","Male",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.05921666666667,270,"Yes"
"275",0,"all","without","mariposas","two","every",0.98,3,"one_slider","Español",2,"27","Male",4,"Nada.","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.72501666666667,275,"Yes"
"280",0,"none","without","ranas","four","every",0,3,"one_slider","Español",1,"20","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",864,1536,10.1736166666667,280,"Yes"
"286",0,"none","without","ranas","four","every",0.02,3,"one_slider","Español",2,"34","Male",3,"Nothing all good","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",817,393,3.21988333333333,286,"Yes"
"289",0,"many","with","mariposas","two","every",1,3,"one_slider","Español",2,"29","Male",2,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1600,2.67101666666667,289,"Yes"
"293",0,"many","without","dinosaurios","two","every",0.01,3,"one_slider","Español",1,"22","Male",2,"Hay un error gramatical en “lo ayuda A leer libros”","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.2115,293,"Yes"
"298",0,"all","with","mariposas","two","every",0.99,3,"one_slider","Español",2,"19","Male",1,"Considero que fue sencillo de entender","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",800,1280,4.59376666666667,298,"Yes"
"299",0,"none","without","dinosaurios","four","every",0,3,"one_slider","Español",1,"21","Male",1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.59063333333333,299,"Yes"
"305",0,"none","without","mariposas","four","every",0.11,3,"one_slider","Español",2,"37","Male",1,"Sin comentarios.","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","advanced","Chrome","Windows",768,1024,5.52905,305,"Yes"
"308",0,"many","with","mariposas","four","every",0.02,3,"one_slider","Español",2,"23","Female",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",752,360,3.17241666666667,308,"Yes"
"311",0,"none","without","ranas","four","every",1,3,"one_slider","español",2,"21","Female",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.72,311,"Yes"
"314",0,"none","without","leones","four","every",0,3,"one_slider","Español",1,"18","Female",1,"La compresión de lectura es una habilidad muy útil, que haya sido en español facilita mi compresión, soy nativa del idioma español pero también hablo ingles y portugués","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","Mac",900,1440,3.43195,314,"Yes"
"317",0,"none","without","ranas","two","every",1,3,"one_slider","Espanol",1,"34","Female",4,"","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Windows",864,1536,10.3197166666667,317,"Yes"
"318",0,"all","without","dinosaurios","two","every",0,3,"one_slider","español",1,"24","Female",3,"","SpanSpan","mid","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1440,2.10253333333333,318,"Yes"
"319",0,"all","without","dinosaurios","four","every",0.98,3,"one_slider","Español",1,"33","Male",4,"Es raro...no lo he entendido bien. La traduccion deberia de ser algo mejor","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Mac",1080,1920,2.46118333333333,319,"Yes"
"322",0,"none","without","leones","two","every",0.8,3,"one_slider","Español",2,"29","Male",3,"Todo bien.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Linux",681,360,4.05965,322,"Yes"
"323",0,"none","with","leones","four","every",0.18,3,"one_slider","Español",1,"46","Female",4,"","SpanSpan","most","no","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",720,360,2.69331666666667,323,"Yes"
"324",0,"many","with","mariposas","two","every",1,3,"one_slider","Espanol",1,"33","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",864,1536,4.05018333333333,324,"Yes"
"325",0,"none","with","ranas","two","every",1,3,"one_slider","Español",1,"27","Female",3,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.01546666666667,325,"Yes"
"327",0,"none","without","dinosaurios","four","every",0.28,3,"one_slider","Español",2,"19","Female",2,"Me pareció muy interesante y me hizo reflexionar","SpanSpan","most","yes","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",864,1536,4.78953333333333,327,"Yes"
"328",0,"all","without","mariposas","two","every",0.08,3,"one_slider","Español",1,"20","Female",2,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Safari","an unknown OS",1024,768,3.44456666666667,328,"Yes"
"329",0,"none","without","leones","two","every",0,3,"one_slider","español",2,"23","Male",3,"no tengo nada mas que decir","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Firefox","Windows",1080,1920,2.17646666666667,329,"Yes"
"330",0,"all","without","dinosaurios","four","every",0.98,3,"one_slider","Español",1,"42","Male",3,"Algo diferente a lo acostumbrado y es bueno contestar","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Firefox","Windows",1080,1920,3.85738333333333,330,"Yes"
"331",0,"none","without","ranas","four","every",0.2,3,"one_slider","Español",2,"30","Male",1,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",800,1280,2.85206666666667,331,"Yes"
"332",0,"many","with","mariposas","two","every",0.05,3,"one_slider","Español ",2,"21","Female",2,"Sencillo y agradable de tomar ","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.72488333333333,332,"Yes"
"336",0,"none","without","dinosaurios","two","every",0.13,3,"one_slider","Español",2,"30","Male",4,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.66668333333333,336,"Yes"
"338",0,"many","without","ranas","two","every",0.49,3,"one_slider","Español",1,"28","Female",4,"Al principio pensé que obviamente estaba incorrecta la frase, ya que la frase querría decir que ambas ranas no saltaron sobre la roca, que ninguna saltó siendo que una sí saltó. Luego vi la segunda interpretación, que es que es como una saltó, es verdad que [todas no saltaron], ya que saltó sólo una.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,12.0959,338,"Yes"
"340",0,"none","without","dinosaurios","four","every",0.14,3,"one_slider","Español",2,"28","Male",3,"Interesante encuesta ","SpanSpan","most","yes","onesem","both8","mostlive","spaneng","native","Safari","iPhone/iPod",667,375,2.10813333333333,340,"Yes"
"341",0,"all","with","leones","four","every",0.91,3,"one_slider","español",2,"34","Male",1,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.20265,341,"Yes"
"346",0,"none","without","dinosaurios","two","every",0.74,3,"one_slider","Español ",2,"25","Male",3,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",748,360,3.47798333333333,346,"Yes"
"348",0,"all","without","ranas","two","every",0.77,3,"one_slider","Español",2,"20","Male",2,"","SpanEng","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",851,393,3.23606666666667,348,"Yes"
"349",0,"none","with","ranas","four","every",0.47,3,"one_slider","Español",2,"23","Female",2,"","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,2.6007,349,"Yes"
"355",0,"many","with","leones","two","every",0.19,3,"one_slider","Español",1,"39","Female",3,"Me gustó que esa una pregunta que debes poner mucha atención para contestar","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,3.99721666666667,355,"Yes"
"356",0,"many","with","leones","four","every",0.03,3,"one_slider","Español ",1,"19","Male",1,"","SpanEng","most","no","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",896,414,3.19091666666667,356,"Yes"
"357",0,"none","without","leones","two","every",0.28,3,"one_slider","Espanol",1,"24","Male",3,"","SpanEng","most","yes","midsem","both8","mostlive","span","native","Chrome","Linux",1050,1680,2.9599,357,"Yes"
"359",0,"all","with","mariposas","four","every",0,3,"one_slider","Español",1,"38","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","spaneng","native","Firefox","Windows",1080,1920,2.0993,359,"Yes"
"363",0,"many","without","ranas","two","every",1,3,"one_slider","Español",1,"41","Male",3,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.8399,363,"Yes"
"366",0,"many","without","ranas","four","every",0.91,3,"one_slider","Español",1,"32","Male",4,"","SpanEng","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,5.34828333333333,366,"Yes"
"367",0,"none","without","mariposas","four","every",0,3,"one_slider","español",1,"31","Male",4,":)","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Mac",900,1440,3.28201666666667,367,"Yes"
"375",0,"all","without","dinosaurios","four","every",0.75,3,"one_slider","Español",1,"21","Male",2,"Me parece que fue muy corto.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,2.53205,375,"Yes"
"379",0,"many","with","dinosaurios","four","every",0.07,3,"one_slider","Español ",1,"37","Female",4,"","SpanSpan","most","no","onesem","both8","mostlive","span","native","Safari","iPhone/iPod",896,414,2.90938333333333,379,"Yes"
"380",0,"none","with","dinosaurios","four","every",0.2,3,"one_slider","español",1,"21","Female",2,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Safari","Mac",900,1440,37.3965,380,"Yes"
"381",0,"many","with","leones","four","every",0.21,3,"one_slider","Español",1,"22","Female",0,"","SpanSpan","most","yes","midsem","both8","mostlive","span","advanced","Chrome","Linux",780,360,2.45661666666667,381,"Yes"
"383",0,"many","without","mariposas","two","every",0,3,"one_slider","Español",2,"21","Female",3,"","SpanSpan","","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.29716666666667,383,"Yes"
"384",0,"many","with","mariposas","four","every",0,3,"one_slider","Español",2,"25","Male",4,"Corto y certero. Me parecio adecuado","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1360,2.06321666666667,384,"Yes"
"386",0,"all","with","leones","four","every",0.13,3,"one_slider","Español",1,"23","Female",3,"Estudio interesante, ojalá lo puedan aplicar a niños, éxito!","SpanSpan","none","noclasses","midsem","both8","mostlive","span","native","Chrome","Windows",768,1366,2.92251666666667,386,"Yes"
"388",0,"none","without","leones","four","every",0.95,3,"one_slider","Español",2,"34","Female",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",771,360,3.13418333333333,388,"Yes"
"395",0,"many","with","ranas","four","every",1,3,"one_slider","español",1,"37","Female",3,"Lo encontré un poco extraño pero novedoso.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1600,5.36325,395,"Yes"
"396",0,"all","without","mariposas","four","every",1,3,"one_slider","Español",1,"45","Male",4,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",1080,1920,2.8978,396,"Yes"
"399",0,"none","with","mariposas","two","every",0,3,"one_slider","Español",2,"25","Male",1,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",1080,1920,3.99316666666667,399,"Yes"
"402",0,"none","without","dinosaurios","two","every",0,3,"one_slider","Español",2,"20","Female",3,"Me gustaría saber el objetivo del experimento","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.95455,402,"Yes"
"403",0,"many","with","ranas","two","every",0.02,3,"one_slider","ESPAÑOL",1,"45","Female",4,"FUE ENTRETENIDO.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","Mac",800,1280,10.2979,403,"Yes"
"404",0,"none","without","ranas","two","every",0.95,3,"one_slider","Español",2,"21","Male",2,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",780,360,3.82233333333333,404,"Yes"
"405",0,"none","with","leones","four","every",0.48,3,"one_slider","Español ",1,"20","Female",2,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.46636666666667,405,"Yes"
"409",0,"none","without","mariposas","two","every",0.01,3,"one_slider","Español",1,"25","Male",4,"Buen estudio","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.19848333333333,409,"Yes"
"411",0,"none","without","leones","two","every",0.86,3,"one_slider","Español",2,"21","Female",2,"Es una encuesta engañosa para que podamos responder con sabiduria ","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.05088333333333,411,"Yes"
"414",0,"many","without","mariposas","four","every",0.87,3,"one_slider","español",1,"29","Female",4,"un poco enredado la forma de narrar, podría ser más simple ","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,6.63641666666667,414,"Yes"
"415",0,"all","without","leones","two","every",0.94,3,"one_slider","Español",1,"18","Female",0,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","advanced","Chrome","Linux",640,360,2.5408,415,"Yes"
"421",0,"all","without","dinosaurios","four","every",0.92,3,"one_slider","Español",1,"26","Female",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",851,393,3.4132,421,"Yes"
"423",0,"none","without","ranas","four","every",0.79,3,"one_slider","Español",1,"26","Male",4,"El reciente experimento, a pesar de la sencillez de la pregunta, me ha parecido una prueba algo confusa, pues creía que iba a ser más compleja dado a que quizás se requeriría un análisis mayor en la selección de los ""cuentos""; sin embargo, la experiencia me entretuvo y me dejó pensando","SpanSpan","none","yes","onesem","both8","mostlive","span","native","Chrome","Windows",768,1366,9.80853333333333,423,"Yes"
"427",0,"many","without","dinosaurios","four","every",0,3,"one_slider","español",2,"35","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","advanced","Chrome","Windows",864,1536,3.57591666666667,427,"Yes"
"428",0,"all","with","dinosaurios","four","every",0.03,3,"one_slider","Español",2,"20","Female",1,"Buena encuesta","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",851,393,2.56466666666667,428,"Yes"
"429",0,"all","without","leones","four","every",1,3,"one_slider","Español",2,"20","Male",3,"","SpanSpan","none","no","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",900,1600,2.6058,429,"Yes"
"434",0,"all","without","ranas","four","every",0.97,3,"one_slider","Español",2,"24","Male",3,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Linux",760,360,3.58263333333333,434,""
"435",0,"many","with","leones","two","every",0.08,3,"one_slider","español",1,"24","Male",1,"La pregunta es poco común en el idioma. ","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,4.54865,435,"Yes"
"440",0,"all","with","ranas","four","every",0.01,3,"one_slider","Español",2,"20","Female",2,"Experimento muy bien hecho. ","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Mac",768,1366,2.56485,440,"Yes"
"441",0,"all","with","mariposas","four","every",1,3,"one_slider","español",1,"60","Male",3,"creo que al negar que todas las mariposas fueron a  
la ciudad implica que 2 pudieran ir y 2 no fueran","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",800,1280,6.9852,441,"Yes"
"442",0,"all","with","leones","two","every",0.98,3,"one_slider","español",1,"49","Male",3,"ha sido agradable, gracias, Dios les bendiga.","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",720,1280,3.09436666666667,442,"Yes"
"443",0,"none","with","leones","two","every",0,3,"one_slider","español",1,"16","Female",2,"","SpanSpan","none","no","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",768,1366,4.71648333333333,443,"Yes"
"444",0,"many","with","leones","four","every",1,3,"one_slider","Español",2,"21","Male",1,"Algo interesante y un poco confuso pero todo bien.","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Firefox","Windows",768,1366,4.45343333333333,444,"Yes"
"445",0,"many","with","mariposas","four","every",0,3,"one_slider","Español",2,"30","Male",3,"Simple y sencillo.","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",720,1280,4.75391666666667,445,"Yes"
"446",0,"many","with","ranas","four","every",0.97,3,"one_slider","Español",1,"26","Female",4,"","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Chrome","Linux",720,360,3.7259,446,"Yes"
"451",0,"none","without","ranas","two","every",0.07,3,"one_slider","Español",1,"21","Female",2,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",896,414,3.26005,451,"Confused"
"454",0,"all","with","ranas","four","every",0.87,3,"one_slider","español",2,"53","Female",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.9539,454,"Yes"
"458",0,"none","with","mariposas","four","every",0.9,3,"one_slider","español",2,"55","Male",4,"sin conebtarios","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1024,3.88386666666667,458,"Yes"
"459",0,"many","with","ranas","four","every",0.85,3,"one_slider","castellano",1,"27","Female",4,"Nada que añadir","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.60871666666667,459,"Yes"
"460",0,"none","without","leones","four","every",0.97,3,"one_slider","Español",1,"20","Female",2,"","SpanSpan","none","no","nocollege","both8","mostlive","spaneng","native","Safari","iPhone/iPod",736,414,2.87123333333333,460,"Yes"
"461",0,"all","with","mariposas","two","every",0.98,3,"one_slider","Español",2,"","",4,"","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Linux",640,360,3.45913333333333,461,""
"462",0,"many","with","dinosaurios","four","every",0,3,"one_slider","Español",2,"34","Male",3,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1440,2.68711666666667,462,"Yes"
"465",0,"all","with","leones","four","every",0.01,3,"one_slider","Español",2,"60","Female",4,"","SpanEng","most","yes","mostsem","both8","mostlive","eng","native","Safari","iPhone/iPod",568,320,4.3866,465,"Yes"
"466",0,"many","with","dinosaurios","two","every",0,3,"one_slider","español",2,"19","Male",2,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",900,1600,4.55231666666667,466,"Yes"
"468",0,"none","with","ranas","two","every",1,3,"one_slider","español",1,"46","Male",4,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Mac",900,1440,2.59365,468,"Yes"
"473",0,"all","with","ranas","two","every",1,3,"one_slider","español e ingles",2,"36","Female",4,"","","most","","mostsem","both8","mostlive","spaneng","native","Firefox","Windows",768,1366,4.02425,473,"Yes"
"474",0,"none","without","mariposas","two","every",0.49,3,"one_slider","ESPAÑOL",1,"42","Female",2,"La respuesta del elefante tiene dos interpretaciones, dependiendo de eso contesta correctamente o no","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,4.98586666666667,474,"Yes"
"476",0,"none","without","mariposas","two","every",0.48,3,"one_slider","Español",1,"32","Male",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",808,393,3.9462,476,"Yes"
"477",0,"none","with","mariposas","four","every",0.01,3,"one_slider","Español",2,"24","Male",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",896,414,2.68931666666667,477,"Yes"
"479",0,"none","with","leones","two","every",0.92,3,"one_slider","Español",1,"29","Male",3,"Todo estuvo muy bien.","SpanSpan","small","no","nocollege","both8","mostlive","span","native","Chrome","Windows",615,1093,2.72738333333333,479,"Yes"
"481",0,"all","with","mariposas","two","every",1,3,"one_slider","español",1,"42","Male",4,"sin comentarios","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Mozilla","Windows",800,1280,3.1209,481,"Yes"
"482",0,"none","without","dinosaurios","four","every",0.93,3,"one_slider","Español",2,"45","Female",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",820,1024,5.47173333333333,482,"Yes"
"485",0,"none","with","mariposas","four","every",0.2,3,"one_slider","Español",1,"27","Male",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,2.27301666666667,485,"Yes"
"492",0,"none","with","leones","four","every",0.06,3,"one_slider","Español",2,"40","Male",4,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Linux",720,360,3.66766666666667,492,"Yes"
"493",0,"all","without","dinosaurios","two","every",0.88,3,"one_slider","Español",2,"29","Female",3,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",800,1280,2.78681666666667,493,"Yes"
"495",0,"none","with","mariposas","two","every",0.12,3,"one_slider","Español",1,"20","Female",4,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,3.1282,495,"Yes"
