Browser,screenW,workerid,OS,screenH
Chrome,1680,0,Mac,1050
Firefox,1536,1,Windows,864
Chrome,3072,2,Windows,1728
Chrome,1024,3,Linux,600
Chrome,1366,4,Windows,768
Chrome,1600,5,Windows,1000
Chrome,1920,6,Windows,1080
Chrome,1536,7,Windows,960
Chrome,1920,8,Windows,1080
Chrome,1280,9,Mac,800
Chrome,1366,10,Windows,768
Chrome,1229,11,Windows,692
Chrome,1280,12,Windows,1024
Chrome,1920,13,Mac,1080
Firefox,1536,14,Windows,864
Chrome,1536,15,Windows,864
Chrome,1920,16,Windows,1080
Chrome,360,17,Linux,640
Chrome,1280,18,Mac,800
Chrome,1280,19,Mac,800
Chrome,1239,20,Windows,697
Chrome,1920,21,Windows,1080
Chrome,1920,22,Windows,1080
Chrome,1360,23,Linux,768
Chrome,1920,24,Windows,1080
Chrome,1366,25,Windows,768
Chrome,1920,26,Windows,1080
Chrome,1092,27,Linux,614
Firefox,1280,28,Windows,1024
Chrome,1280,29,Windows,720
Firefox,1120,30,Windows,700
Chrome,1440,31,Mac,900
Chrome,1536,32,Windows,864
Chrome,1280,33,Windows,1024
Chrome,1920,34,Windows,1200
Chrome,1920,35,Windows,1080
Chrome,1920,36,Windows,1080
Chrome,1536,37,Linux,864
Chrome,1366,38,Windows,768
Chrome,1600,39,Windows,900
Chrome,1366,40,Windows,768
Firefox,1920,41,Windows,1080
Chrome,1440,42,Mac,900
Chrome,1366,43,Windows,768
Chrome,1366,44,Windows,768
Chrome,1366,45,Windows,768
Chrome,1280,46,Windows,1024
Chrome,1366,47,Windows,768
Chrome,1366,48,Linux,768
Chrome,1536,49,Windows,864
Chrome,1536,50,Windows,864
Chrome,1536,51,Windows,864
Chrome,740,52,Linux,360
Chrome,1366,53,Windows,768
Chrome,1366,54,Windows,768
Chrome,1280,55,Mac,800
Chrome,1920,56,Windows,1080
Chrome,1280,57,Windows,768
Chrome,1920,58,Windows,1080
Chrome,1708,59,Windows,960
Chrome,1366,60,Windows,768
Chrome,1536,61,Windows,864
Chrome,1440,62,Mac,900
Chrome,1280,63,Mac,800
Chrome,1366,64,Linux,768
Chrome,1187,65,Linux,667
Chrome,1366,66,Windows,768
Chrome,1366,67,Linux,768
Chrome,1920,68,Windows,1080
Chrome,1440,69,Mac,900
Chrome,1920,70,Windows,1080
Chrome,1280,71,Windows,1024
Chrome,1364,72,Windows,768
Chrome,1280,73,Windows,720
Chrome,1366,74,Linux,768
Chrome,1366,75,Windows,768
Chrome,1920,76,Windows,1080
Chrome,1920,77,Windows,1080
Chrome,1920,78,Windows,1080
Safari,1024,79,Mac,1366
Chrome,1280,80,Windows,720
Chrome,1440,81,Windows,900
Chrome,1280,82,Mac,800
Chrome,1536,83,Windows,864
Chrome,1600,84,Windows,900
Chrome,1366,85,Windows,768
Chrome,1440,86,Mac,900
Chrome,1920,87,Windows,1080
Chrome,1440,88,Mac,900
Chrome,1366,89,Windows,768
Chrome,1360,90,Windows,768
Chrome,1366,91,Windows,768
Chrome,1600,92,Windows,900
Chrome,1920,93,Mac,1080
Chrome,1366,94,Windows,768
Chrome,1366,95,Linux,768
Chrome,2560,96,Windows,1440
Chrome,1366,97,Windows,768
Chrome,601,98,Linux,962
Chrome,1366,99,Windows,768
Chrome,1280,100,Mac,1024
Chrome,1366,101,Windows,768
Chrome,1920,102,Windows,1080
Chrome,1366,103,Windows,768
Chrome,1440,104,Mac,900
Chrome,1920,105,Windows,1080
Chrome,1366,106,Windows,768
Chrome,1883,107,Windows,1059
Firefox,1024,108,Windows,768
Safari,768,109,an unknown OS,1024
Chrome,1920,110,Windows,1080
Chrome,1920,111,Windows,1080
Chrome,1440,112,Windows,900
Chrome,1920,113,Windows,1080
Chrome,1368,114,Windows,912
Safari,1920,115,Mac,1080
Chrome,1366,116,Windows,768
Chrome,1366,117,Windows,768
Chrome,3840,118,Windows,2160
Chrome,1920,119,Windows,1080
Chrome,1366,120,Windows,768
Chrome,1366,121,Windows,768
Chrome,1920,122,Windows,1080
Chrome,1536,123,Windows,864
Chrome,1154,124,Windows,769
Chrome,1152,125,Mac,720
Chrome,1920,126,Windows,1080
Chrome,1920,127,Windows,1080
Safari,375,128,iPhone/iPod,812
Chrome,1536,129,Windows,864
Safari,2560,130,Mac,1440
Chrome,1366,131,Windows,768
Chrome,1280,132,Linux,800
Chrome,1920,133,Windows,1080
Chrome,1536,134,Windows,864
Chrome,1440,135,Mac,900
Chrome,1280,136,Mac,800
Chrome,1920,137,Windows,1080
Chrome,1366,138,Mac,768
Chrome,1280,139,Windows,800
Firefox,1920,140,Mac,1080
Chrome,1440,141,Windows,900
Chrome,1188,142,Windows,668
Chrome,1280,143,Mac,800
Chrome,1920,144,Windows,1080
Chrome,1440,145,Mac,900
Chrome,1920,146,Windows,1080
Chrome,1440,147,Mac,900
Chrome,1920,148,Windows,1080
Chrome,1241,149,Linux,698
Chrome,1536,150,Windows,864
Chrome,1366,151,Windows,768
Chrome,1440,152,Mac,900
Chrome,412,153,Linux,869
Chrome,1920,154,Mac,1200
Chrome,1920,155,Windows,1080
Chrome,1366,156,Linux,768
Chrome,1440,157,Windows,900
Safari,768,158,Mac,1024
Firefox,1760,159,Windows,990
Chrome,1366,160,Windows,768
Chrome,1536,161,Windows,864
Chrome,1280,162,Windows,1024
Chrome,1536,163,Windows,864
Chrome,1440,164,Windows,900
Chrome,1920,165,Mac,1080
Chrome,1676,166,Windows,943
Chrome,1536,167,Windows,864
Chrome,1920,168,Windows,1080
Firefox,1525,169,Windows,858
Firefox,1536,170,Windows,864
Chrome,1364,171,Windows,768
Chrome,1366,172,Windows,768
Chrome,1366,173,Windows,768
Chrome,1680,174,Windows,1050
Chrome,1920,175,Windows,1080
Chrome,1600,176,Windows,900
Chrome,1366,177,Windows,768
Safari,768,178,Mac,1024
Chrome,1280,179,Windows,720
Chrome,1920,180,Windows,1080
Chrome,1280,181,Windows,720
Chrome,1920,182,Windows,1080
Chrome,1280,183,Linux,800
Chrome,1366,184,Windows,768
Chrome,1366,185,Linux,768
Chrome,1920,186,Windows,1080
Chrome,1152,187,Windows,720
Chrome,1536,188,Windows,864
Safari,1440,189,Mac,900
Chrome,1920,190,Mac,1080
Chrome,1920,191,Windows,1080
Chrome,1366,192,Linux,768
Chrome,1366,193,Windows,768
Firefox,2560,194,Windows,1440
Chrome,1920,195,Windows,1080
Chrome,1536,196,Windows,864
Chrome,1920,197,Windows,1080
Chrome,1920,198,Windows,1080
Chrome,1920,199,Windows,1080
Chrome,1366,200,Windows,768
Chrome,1366,201,Linux,768
Firefox,1680,202,Mac,1050
Chrome,1920,203,Windows,1080
Chrome,1366,204,Windows,768
Chrome,1440,205,Mac,900
Chrome,1280,206,Windows,800
Chrome,1366,207,Windows,768
Chrome,1366,208,Windows,768
Chrome,1680,209,Windows,1050
Chrome,1366,210,Windows,768
Chrome,1707,211,Windows,960
Firefox,1920,212,Windows,1080
Chrome,1920,213,Windows,1080
Chrome,1920,214,Windows,1080
Firefox,1600,215,Windows,900
Firefox,1366,216,Windows,768
Chrome,1366,217,Windows,768
Chrome,1440,218,Windows,900
Firefox,1207,219,Windows,678
Chrome,1440,220,Mac,900
Chrome,1366,221,Windows,768
Chrome,1440,222,Windows,900
Safari,2048,223,Mac,1152
Chrome,1920,224,Windows,1080
Chrome,1280,225,Mac,800
Chrome,1920,226,Windows,1080
Safari,375,227,iPhone/iPod,667
Chrome,1500,228,Windows,1000
Firefox,2560,229,Mac,1440
Safari,375,230,iPhone/iPod,812
Firefox,1366,231,Windows,768
Chrome,1024,232,Linux,768
Chrome,1440,233,Mac,900
Chrome,360,234,Linux,640
Safari,414,235,iPhone/iPod,736
Chrome,1440,236,Windows,960
Chrome,1280,237,Windows,720
Chrome,1600,238,Mac,900
Safari,414,239,iPhone/iPod,896
Chrome,1360,240,Windows,768
Chrome,1366,241,Windows,768
Chrome,601,242,Linux,962
Chrome,1280,243,Mac,800
Chrome,1366,244,Windows,768
Chrome,2560,245,Mac,1440
Chrome,1280,246,Windows,768
Firefox,1920,247,Windows,1200
Chrome,1368,248,Windows,912
Chrome,1440,249,Mac,900
Chrome,1366,250,Windows,768
Chrome,1366,251,Windows,768
Chrome,1360,252,Windows,768
Chrome,393,253,Linux,786
Chrome,1280,254,Mac,800
Safari,768,255,an unknown OS,1024
Firefox,1920,256,Windows,1080
Chrome,1280,257,Windows,800
Safari,414,258,iPhone/iPod,736
Chrome,1920,259,Windows,1080
Chrome,1920,260,Linux,1080
Chrome,1440,261,Mac,900
Firefox,1366,262,Windows,768
Chrome,1280,263,Windows,1024
Chrome,1366,264,Windows,768
Chrome,1280,265,Windows,720
Safari,1440,266,Mac,900
Chrome,1440,267,Mac,900
Chrome,1366,268,Mac,768
Firefox,1536,269,Windows,864
Chrome,1920,270,Windows,1080
Chrome,1366,271,Windows,768
Chrome,1600,272,Windows,900
Safari,1280,273,Mac,800
Chrome,1280,274,Windows,720
Chrome,1600,275,Windows,900
Chrome,1366,276,Windows,768
Safari,1440,277,Mac,900
Chrome,1920,278,Windows,1080
Chrome,1242,279,Windows,698
Chrome,1344,280,Windows,840
Chrome,1536,281,Windows,864
Firefox,1152,282,Windows,864
Chrome,1536,283,Windows,864
Chrome,1024,284,Windows,600
Chrome,2560,285,Mac,1440
Firefox,1536,286,Windows,864
Chrome,1536,287,Windows,864
Chrome,1368,288,Windows,912
Chrome,1366,289,Windows,768
Chrome,1366,290,Linux,768
Chrome,1366,291,Windows,768
Chrome,1707,292,Windows,960
Chrome,1600,293,Windows,900
Chrome,1366,294,Mac,768
Chrome,1536,295,Windows,864
Chrome,1440,296,Windows,900
Chrome,1280,297,Windows,720
Chrome,1366,298,Windows,768
Firefox,1440,299,Mac,900
Chrome,1600,300,Windows,900
Chrome,1680,301,Windows,1050
Chrome,1366,302,Windows,768
Chrome,1366,303,Windows,768
Chrome,1920,304,Mac,1080
Chrome,1368,305,Windows,912
Chrome,1920,306,Windows,1080
Chrome,1920,307,Windows,1080
Safari,375,308,iPhone/iPod,812
Safari,768,309,an unknown OS,1024
Chrome,1366,310,Windows,768
Chrome,1366,311,Windows,768
Chrome,1440,312,Windows,900
Chrome,1680,313,Windows,1050
Safari,2560,314,Mac,1440
Chrome,1920,315,Windows,1080
Chrome,1920,316,Windows,1080
Chrome,1536,317,Windows,864
Chrome,1242,318,Windows,698
Chrome,1093,319,Windows,615
Safari,414,320,iPhone/iPod,896
Chrome,1920,321,Windows,1080
Firefox,1252,322,Windows,704
Chrome,1280,323,Windows,960
Chrome,1920,324,Mac,1080
Chrome,1366,325,Windows,768
Chrome,1920,326,Windows,1080
Chrome,1440,327,Windows,900
Chrome,1600,328,Windows,900
Chrome,1366,329,Windows,768
Chrome,1366,330,Linux,768
Chrome,1440,331,Mac,900
Chrome,1920,332,Windows,1080
Chrome,1440,333,Mac,900
Chrome,1280,334,Windows,1024
Chrome,2560,335,Mac,1440
Firefox,1280,336,Windows,1024
Chrome,1920,337,Windows,1080
Chrome,1280,338,Windows,720
Chrome,1366,339,Linux,768
Chrome,1920,340,Windows,1080
Chrome,1280,341,Mac,800
Chrome,1280,342,Windows,720
Chrome,1536,343,Windows,864
Chrome,1920,344,Windows,1080
Chrome,1366,345,Windows,768
Chrome,1680,346,Windows,1050
Chrome,412,347,Linux,732
Firefox,1366,348,Windows,768
Chrome,1680,349,Mac,1050
Chrome,1707,350,Windows,960
Chrome,1920,351,Windows,1080
Firefox,1286,352,Windows,965
Chrome,1680,353,Windows,1050
Chrome,1200,354,Linux,800
Chrome,1280,355,Windows,800
Firefox,1536,356,Windows,864
Chrome,1280,357,Windows,800
Chrome,1366,358,Linux,768
Chrome,1536,359,Windows,864
Chrome,1600,360,Windows,900
Chrome,1360,361,Windows,768
Chrome,1366,362,Windows,768
Firefox,1280,363,Mac,800
Chrome,1536,364,Windows,864
Chrome,1360,365,Windows,768
Chrome,1920,366,Mac,1080
Safari,1920,367,Mac,1080
Firefox,1600,368,Windows,900
Chrome,1366,369,Windows,768
Chrome,1366,370,Linux,768
Chrome,1600,371,Windows,900
Chrome,1440,372,Windows,900
Chrome,1920,373,Windows,1080
Firefox,1536,374,Windows,864
Chrome,1680,375,Mac,1050
Chrome,360,376,Linux,640
Chrome,1366,377,Windows,768
Chrome,1366,378,Windows,768
Chrome,1920,379,Windows,1080
Safari,1440,380,Mac,900
Chrome,2560,381,Mac,1440
Chrome,1366,382,Windows,768
Chrome,1366,383,Linux,768
Chrome,1536,384,Windows,864
Chrome,1366,385,Windows,768
Chrome,1366,386,Windows,768
Chrome,1600,387,Windows,900
Chrome,1366,388,Linux,768
Chrome,1400,389,Windows,1050
Chrome,1920,390,Windows,1080
Chrome,1440,391,Windows,900
Chrome,1440,392,Mac,900
Chrome,1920,393,Windows,1080
Chrome,1092,394,Linux,614
Chrome,1366,395,Windows,768
Chrome,1280,396,Windows,720
Firefox,1920,397,Windows,1080
Chrome,1366,398,Windows,768
Chrome,1920,399,Windows,1080
Chrome,1075,400,Windows,672
Chrome,1368,401,Windows,912
Chrome,360,402,Linux,640
Chrome,1280,403,Mac,800
Firefox,1366,404,Windows,768
Firefox,1536,405,Windows,864
Chrome,1600,406,Windows,900
Chrome,1366,407,Windows,768
Chrome,1920,408,Windows,1080
Chrome,1366,409,Windows,768
Chrome,1366,410,Windows,768
Chrome,1366,411,Windows,768
Chrome,1366,412,Linux,768
Safari,375,413,iPhone/iPod,667
Firefox,1366,414,Windows,768
Safari,1440,415,Mac,900
Safari,768,416,Mac,1024
Chrome,1366,417,Windows,768
Chrome,1920,418,Windows,1080
Chrome,1920,419,Windows,1080
Chrome,1500,420,Windows,1000
Chrome,1600,421,Windows,900
Chrome,2560,422,Mac,1440
Chrome,1500,423,Linux,1000
Chrome,1368,424,Windows,912
Chrome,1366,425,Windows,768
Firefox,1680,426,Windows,1050
Chrome,1536,427,Windows,864
Chrome,1536,428,Windows,864
Chrome,1301,429,Windows,731
Firefox,2176,430,Windows,1224
Chrome,1366,431,Windows,768
Chrome,1920,432,Windows,1080
Chrome,1280,433,Mac,800
Chrome,1536,434,Windows,864
Chrome,1366,435,Windows,768
Chrome,1280,436,Windows,720
Chrome,1504,437,Windows,1003
Chrome,360,438,Linux,640
Chrome,1920,439,Windows,1080
Chrome,1440,440,Mac,900
Chrome,1920,441,Windows,1080
Chrome,1366,442,Windows,768
Chrome,1920,443,Windows,1080
Chrome,1280,444,Mac,800
Firefox,1600,445,Windows,900
Chrome,1524,446,Windows,858
Safari,768,447,Mac,1024
Chrome,1366,448,Windows,768
Chrome,1600,449,Windows,900
Chrome,1366,450,Windows,768
Chrome,1920,451,Linux,1080
Chrome,1366,452,Linux,768
Chrome,1440,453,Windows,960
Safari,768,454,an unknown OS,1024
Chrome,1366,455,Windows,768
Chrome,1366,456,Windows,768
Chrome,1280,457,Mac,800
Chrome,1366,458,Windows,768
Firefox,1440,459,Windows,900
Firefox,1525,460,Windows,858
Chrome,1536,461,Windows,864
Chrome,412,462,Linux,732
Chrome,1920,463,Windows,1080
Firefox,800,464,Windows,450
Chrome,1920,465,Windows,1080
Chrome,1366,466,Windows,768
Chrome,1536,467,Windows,864
Chrome,1280,468,Windows,1024
Chrome,1536,469,Linux,864
Chrome,1920,470,Windows,1080
Firefox,1280,471,Windows,1024
Chrome,1366,472,Windows,768
Chrome,1366,473,Linux,768
Chrome,1680,474,Windows,1050
Firefox,1920,475,Windows,1080
Firefox,1536,476,Windows,864
Chrome,1920,477,Windows,1080
Chrome,1280,478,Mac,800
Chrome,1440,479,Mac,900
Safari,1440,480,Mac,900
Chrome,1366,481,Windows,768
Chrome,1366,482,Windows,768
Chrome,1360,483,Windows,768
Chrome,1366,484,Windows,768
Chrome,1600,485,Windows,900
Chrome,1229,486,Windows,692
Chrome,1280,487,Windows,720
Chrome,1366,488,Windows,768
Chrome,2560,489,Windows,1440
Chrome,1600,490,Windows,900
Chrome,1366,491,Windows,768
Chrome,320,492,Linux,570
Chrome,1366,493,Windows,768
Chrome,1280,494,Windows,720
Chrome,1440,495,Mac,900
Safari,414,496,iPhone/iPod,896
Chrome,1366,497,Windows,768
Chrome,1366,498,Windows,768
Chrome,1920,499,Windows,1080
Chrome,1280,500,Mac,800
Chrome,1600,501,Windows,900
Chrome,1600,502,Windows,900
Firefox,1760,503,Windows,990
Chrome,1138,504,Linux,640
Chrome,1366,505,Windows,768
Chrome,1242,506,Windows,699
Chrome,1440,507,Windows,900
Chrome,1366,508,Linux,768
Firefox,1408,509,Windows,792
Chrome,1366,510,Windows,768
Chrome,412,511,Linux,823
Chrome,1920,512,Windows,1080
Chrome,1920,513,Windows,1080
Firefox,1920,514,Windows,1080
Chrome,1536,515,Linux,864
Firefox,1366,516,Windows,768
Chrome,1536,517,Windows,864
Chrome,1366,518,Windows,768
Chrome,1920,519,Windows,1080
Chrome,1366,520,Windows,768
Chrome,1366,521,Windows,768
Chrome,1097,522,Windows,617
Chrome,1680,523,Windows,1050
Chrome,1280,524,Windows,1024
Chrome,1920,525,Windows,1080
Chrome,360,526,Linux,640
Chrome,1536,527,Windows,864
Chrome,1920,528,Windows,1080
Chrome,1920,529,Windows,1080
Chrome,1280,530,Windows,768
Chrome,1280,531,Windows,720
Firefox,1280,532,Windows,960
Chrome,1280,533,Linux,1024
Chrome,1366,534,Windows,768
Chrome,1280,535,Linux,800
Chrome,800,536,Linux,1280
Chrome,1920,537,Windows,1080
Chrome,1600,538,Windows,900
Chrome,1440,539,Mac,900
Safari,1440,540,Mac,900
Chrome,1920,541,Windows,1080
Chrome,1920,542,Windows,1080
Chrome,360,543,Linux,640
Chrome,1600,544,Windows,1200
Firefox,414,545,Linux,783
Safari,414,546,iPhone/iPod,736
Firefox,1366,547,Windows,768
Chrome,1440,548,Mac,900
Chrome,1920,549,Windows,1080
Chrome,1536,550,Linux,864
Chrome,1366,551,Windows,768
Chrome,1920,552,Windows,1080
Chrome,1364,553,Windows,768
Chrome,1600,554,Mac,900
Chrome,1366,555,Windows,768
Chrome,1920,556,Windows,1080
Mozilla,1024,557,Windows,576
Chrome,1920,558,Windows,1080
Chrome,1280,559,Windows,720
Chrome,1366,560,Windows,768
Chrome,1536,561,Windows,864
Chrome,1600,562,Windows,900
Chrome,1920,563,Windows,1080
Chrome,1680,564,Mac,1050
Chrome,1280,565,Windows,720
Chrome,1280,566,Windows,720
Chrome,1920,567,Windows,1080
Safari,414,568,iPhone/iPod,896
Firefox,1536,569,Windows,864
Chrome,1280,570,Windows,720
Chrome,1536,571,Windows,864
Chrome,1920,572,Windows,1080
Firefox,1231,573,Windows,821
Firefox,1920,574,Linux,1080
Firefox,1920,575,Windows,1080
Chrome,1536,576,Windows,864
Chrome,1920,577,Windows,1080
Chrome,1536,578,Windows,864
Chrome,1366,579,Windows,768
Firefox,1366,580,Windows,768
Chrome,1536,581,Windows,864
Chrome,1600,582,Windows,900
Chrome,1280,583,Mac,800
Chrome,1920,584,Windows,1200
Firefox,1536,585,Windows,864
Chrome,1920,586,Windows,1080
Chrome,1280,587,Mac,800
Chrome,1707,588,Windows,1067
Safari,1440,589,Mac,900
Chrome,1680,590,Windows,1050
Mozilla,1280,591,Windows,720
Chrome,1680,592,Mac,1050
Firefox,1920,593,Mac,1080
Firefox,1920,594,Windows,1080
Chrome,1920,595,Windows,1080
Chrome,1366,596,Windows,768
Chrome,1366,597,Mac,768
Chrome,1920,598,Windows,1080
Chrome,1280,599,Mac,800
