number,trial_type,quantifier,Answer.condition,QUD,item,workerid,Answer.time_in_minutes,slide_number,context,response
two,one_slider,numeral,undefined,many,dinosaurs,0,1.1333166666666667,3,with,0
two,one_slider,every,undefined,none,lions,1,1.5873666666666666,3,without,0
four,one_slider,numeral,undefined,none,frogs,2,2.27055,3,with,0.87
four,one_slider,numeral,undefined,all,frogs,3,2.48905,3,without,0.97
four,one_slider,every,undefined,all,butterflies,4,2.0900333333333334,3,without,0.93
two,one_slider,numeral,undefined,all,lions,5,0.5525,3,with,0.81
two,one_slider,every,undefined,many,lions,6,1.01265,3,without,0.97
four,one_slider,every,undefined,none,butterflies,7,2.60325,3,with,0.12
two,one_slider,every,undefined,none,dinosaurs,8,1.2786,3,without,0
two,one_slider,numeral,undefined,many,lions,9,1.2273,3,without,0.01
four,one_slider,every,undefined,all,frogs,10,1.7417,3,with,0.79
two,one_slider,every,undefined,many,dinosaurs,11,1.1620833333333334,3,without,1
two,one_slider,numeral,undefined,none,lions,12,1.3097,3,with,0.72
four,one_slider,numeral,undefined,many,lions,13,1.9126333333333334,3,without,1
four,one_slider,every,undefined,many,frogs,14,1.3291833333333334,3,with,0.84
four,one_slider,every,undefined,all,frogs,15,1.55675,3,without,0.98
four,one_slider,every,undefined,all,frogs,16,1.3455666666666666,3,with,0.98
four,one_slider,every,undefined,none,butterflies,17,1.9790333333333334,3,with,0.07
four,one_slider,every,undefined,all,butterflies,18,0.9118166666666667,3,without,0
four,one_slider,every,undefined,all,butterflies,19,1.5567333333333333,3,with,0.6
two,one_slider,numeral,undefined,all,dinosaurs,20,1.1543333333333334,3,without,0
four,one_slider,every,undefined,all,lions,21,0.8115833333333333,3,with,1
two,one_slider,numeral,undefined,many,butterflies,22,1.0698166666666666,3,without,0.9
two,one_slider,numeral,undefined,many,butterflies,23,2.110716666666667,3,without,0.02
two,one_slider,numeral,undefined,all,frogs,24,2.4563333333333333,3,without,0.01
two,one_slider,numeral,undefined,none,frogs,25,0.97745,3,without,0.89
four,one_slider,numeral,undefined,all,dinosaurs,26,1.9013666666666666,3,without,1
two,one_slider,numeral,undefined,many,dinosaurs,27,1.51895,3,without,0
two,one_slider,every,undefined,many,frogs,28,2.0081,3,without,0.97
four,one_slider,numeral,undefined,none,butterflies,29,2.1014333333333335,3,without,0.99
four,one_slider,numeral,undefined,none,butterflies,30,2.0467666666666666,3,without,0.48
two,one_slider,every,undefined,none,dinosaurs,31,1.5104666666666666,3,with,0.49
four,one_slider,numeral,undefined,all,lions,32,1.3744166666666666,3,with,0.97
four,one_slider,numeral,undefined,none,frogs,33,1.38955,3,with,1
two,one_slider,every,undefined,none,butterflies,34,1.2783833333333334,3,with,0.98
four,one_slider,every,undefined,all,lions,35,1.3792333333333333,3,with,1
four,one_slider,every,undefined,many,dinosaurs,36,2.1267,3,without,0.83
two,one_slider,every,undefined,all,frogs,37,8.553316666666667,3,with,1
two,one_slider,numeral,undefined,none,butterflies,38,2.4183333333333334,3,with,0
four,one_slider,every,undefined,none,lions,39,2.128433333333333,3,with,0.96
two,one_slider,numeral,undefined,many,frogs,40,3.009733333333333,3,with,0.86
four,one_slider,numeral,undefined,many,dinosaurs,41,1.4161,3,with,1
four,one_slider,every,undefined,none,lions,42,1.8049,3,without,0.51
two,one_slider,every,undefined,none,dinosaurs,43,1.5161666666666667,3,without,0.27
two,one_slider,numeral,undefined,none,butterflies,44,1.9913833333333333,3,with,0
two,one_slider,numeral,undefined,many,butterflies,45,4.2223,3,without,0.86
four,one_slider,numeral,undefined,all,butterflies,46,0.9914333333333334,3,without,0.98
two,one_slider,every,undefined,many,butterflies,47,3.715116666666667,3,with,0.88
four,one_slider,every,undefined,all,butterflies,48,2.6900833333333334,3,with,0.03
four,one_slider,every,undefined,many,frogs,49,0.567,3,without,0.73
four,one_slider,every,undefined,none,dinosaurs,50,2.280683333333333,3,without,0.03
four,one_slider,every,undefined,none,frogs,51,0.9416,3,with,0.02
two,one_slider,numeral,undefined,none,lions,52,3.57435,3,without,0.54
two,one_slider,numeral,undefined,none,dinosaurs,53,1.79825,3,without,0.04
four,one_slider,numeral,undefined,none,butterflies,54,0.9547333333333333,3,with,0.73
two,one_slider,numeral,undefined,none,butterflies,55,2.4576333333333333,3,with,0
four,one_slider,numeral,undefined,all,lions,56,1.4838333333333333,3,without,0.98
two,one_slider,every,undefined,none,dinosaurs,57,1.41735,3,without,0.02
four,one_slider,numeral,undefined,all,butterflies,58,1.0707666666666666,3,with,0.94
two,one_slider,numeral,undefined,many,frogs,59,1.6644666666666668,3,without,0.2
four,one_slider,every,undefined,many,butterflies,60,1.2584,3,with,0.98
four,one_slider,numeral,undefined,none,frogs,61,0.6283666666666666,3,without,0.47
four,one_slider,every,undefined,all,butterflies,62,1.3732666666666666,3,with,0.99
two,one_slider,numeral,undefined,many,frogs,63,2.1149666666666667,3,with,1
four,one_slider,every,undefined,many,lions,64,2.79065,3,with,0.99
four,one_slider,numeral,undefined,many,dinosaurs,65,1.8906833333333333,3,with,0.02
two,one_slider,every,undefined,all,frogs,66,2.6224833333333333,3,without,0.87
four,one_slider,every,undefined,many,lions,67,0.6502833333333333,3,with,0.82
four,one_slider,numeral,undefined,many,dinosaurs,68,2.1208,3,without,0.98
four,one_slider,numeral,undefined,none,lions,69,0.7311166666666666,3,with,0.99
two,one_slider,numeral,undefined,many,frogs,70,2.2903,3,with,0.02
two,one_slider,numeral,undefined,none,dinosaurs,71,2.27235,3,with,0
four,one_slider,numeral,undefined,many,frogs,72,2.0800666666666667,3,with,1
four,one_slider,every,undefined,many,lions,73,2.8722,3,without,0.98
two,one_slider,numeral,undefined,many,lions,74,3.8221666666666665,3,without,0.26
four,one_slider,every,undefined,all,lions,75,2.3459333333333334,3,with,0.99
two,one_slider,every,undefined,all,butterflies,76,1.62615,3,without,0.03
four,one_slider,numeral,undefined,all,lions,77,2.0955666666666666,3,without,1
four,one_slider,numeral,undefined,none,butterflies,78,1.2604833333333334,3,with,0.97
four,one_slider,every,undefined,all,lions,79,2.8665166666666666,3,without,0.95
two,one_slider,numeral,undefined,none,butterflies,80,2.306016666666667,3,with,1
four,one_slider,numeral,undefined,none,butterflies,81,1.9304166666666667,3,without,0.65
two,one_slider,every,undefined,none,frogs,82,1.4110833333333332,3,without,0
four,one_slider,numeral,undefined,many,frogs,83,2.364333333333333,3,with,0.8
two,one_slider,numeral,undefined,none,butterflies,84,0.5458333333333333,3,without,0.53
two,one_slider,numeral,undefined,none,butterflies,85,2.1862833333333334,3,with,0
two,one_slider,numeral,undefined,all,dinosaurs,86,1.2472666666666667,3,with,0
four,one_slider,every,undefined,all,butterflies,87,1.20825,3,with,0.63
two,one_slider,every,undefined,many,dinosaurs,88,1.4156166666666667,3,without,0
four,one_slider,numeral,undefined,none,frogs,89,1.6074333333333333,3,without,0.97
four,one_slider,every,undefined,none,frogs,90,2.4369666666666667,3,with,0.97
four,one_slider,every,undefined,all,butterflies,91,1.7420333333333333,3,with,0.83
four,one_slider,every,undefined,many,butterflies,92,1.1945,3,with,1
two,one_slider,numeral,undefined,all,butterflies,93,1.1402333333333334,3,without,0.03
two,one_slider,every,undefined,all,dinosaurs,94,3.6531,3,without,0.96
two,one_slider,every,undefined,many,lions,95,0.7129833333333333,3,without,0.04
two,one_slider,every,undefined,all,frogs,96,1.1047666666666667,3,with,0.97
four,one_slider,every,undefined,none,butterflies,97,1.6571833333333332,3,without,0.02
two,one_slider,every,undefined,all,lions,98,1.8712666666666666,3,with,0.99
two,one_slider,every,undefined,none,frogs,99,1.5988333333333333,3,with,0.99
four,one_slider,every,undefined,all,dinosaurs,100,2.0643166666666666,3,with,0.68
two,one_slider,numeral,undefined,all,dinosaurs,101,2.2380666666666666,3,with,0.72
four,one_slider,every,undefined,many,lions,102,1.0991,3,with,1
four,one_slider,every,undefined,many,lions,103,1.9419333333333333,3,without,0.98
four,one_slider,every,undefined,none,frogs,104,1.44445,3,with,0.88
two,one_slider,numeral,undefined,all,frogs,105,1.7526166666666667,3,without,0.6
two,one_slider,numeral,undefined,many,dinosaurs,106,2.891583333333333,3,with,1
four,one_slider,numeral,undefined,none,lions,107,1.8970333333333333,3,with,0.96
four,one_slider,numeral,undefined,many,frogs,108,1.7053833333333333,3,without,0.97
two,one_slider,every,undefined,all,lions,109,1.9912,3,without,0.91
four,one_slider,every,undefined,none,dinosaurs,110,1.9376333333333333,3,without,0.23
four,one_slider,every,undefined,many,butterflies,111,1.5709,3,with,0.94
four,one_slider,numeral,undefined,all,lions,112,1.6125333333333334,3,without,1
four,one_slider,every,undefined,all,butterflies,113,1.2390833333333333,3,without,0.99
two,one_slider,every,undefined,all,lions,114,1.7357,3,without,0.99
four,one_slider,numeral,undefined,all,lions,115,1.11215,3,without,0.99
four,one_slider,numeral,undefined,none,lions,116,2.8212166666666665,3,with,0.97
two,one_slider,numeral,undefined,none,frogs,117,8.55275,3,with,0.1
four,one_slider,every,undefined,all,butterflies,118,3.295533333333333,3,with,0
two,one_slider,every,undefined,many,frogs,119,1.94425,3,without,0.31
two,one_slider,every,undefined,many,lions,120,2.2244,3,without,0.99
four,one_slider,every,undefined,none,butterflies,121,0.88475,3,without,0.96
four,one_slider,every,undefined,many,lions,122,0.9267666666666666,3,with,0
four,one_slider,numeral,undefined,many,butterflies,123,2.313066666666667,3,with,0.79
two,one_slider,numeral,undefined,none,butterflies,124,2.12245,3,without,0.72
two,one_slider,numeral,undefined,all,butterflies,125,1.98825,3,with,0.04
four,one_slider,numeral,undefined,none,lions,126,3.1056,3,with,1
two,one_slider,numeral,undefined,none,frogs,127,1.1672,3,without,0.02
two,one_slider,every,undefined,all,frogs,128,3.1771,3,with,0.98
two,one_slider,numeral,undefined,many,frogs,129,1.2838666666666667,3,with,0.02
four,one_slider,every,undefined,none,frogs,130,2.58715,3,with,0.95
four,one_slider,numeral,undefined,none,butterflies,131,2.9037166666666665,3,without,1
two,one_slider,every,undefined,none,lions,132,1.537,3,without,1
two,one_slider,every,undefined,all,lions,133,2.9127666666666667,3,without,0
four,one_slider,numeral,undefined,none,dinosaurs,134,1.89755,3,without,0.73
four,one_slider,numeral,undefined,all,lions,135,0.9964166666666666,3,with,0.98
two,one_slider,numeral,undefined,none,dinosaurs,136,1.9647833333333333,3,with,0
two,one_slider,numeral,undefined,all,lions,137,1.0988333333333333,3,without,0
four,one_slider,every,undefined,none,butterflies,138,1.0730833333333334,3,with,0.03
two,one_slider,every,undefined,none,butterflies,139,1.9768666666666668,3,without,0.97
four,one_slider,numeral,undefined,none,frogs,140,1.19415,3,without,0.99
four,one_slider,every,undefined,none,butterflies,141,2.6571333333333333,3,without,0.03
four,one_slider,every,undefined,all,dinosaurs,142,2.9399,3,with,0.76
four,one_slider,numeral,undefined,many,dinosaurs,143,2.139883333333333,3,without,0.99
two,one_slider,numeral,undefined,none,frogs,144,1.0347333333333333,3,with,0
two,one_slider,every,undefined,many,lions,145,2.0669833333333334,3,with,0.97
two,one_slider,numeral,undefined,all,butterflies,146,0.90275,3,with,0.44
two,one_slider,numeral,undefined,none,butterflies,147,1.6701833333333334,3,without,0
two,one_slider,every,undefined,many,dinosaurs,148,1.4111,3,with,0.2
two,one_slider,every,undefined,many,butterflies,149,3.0906833333333332,3,with,0.02
four,one_slider,numeral,undefined,none,frogs,150,2.205783333333333,3,with,0.31
two,one_slider,numeral,undefined,many,lions,151,2.0155666666666665,3,without,0.98
four,one_slider,every,undefined,all,dinosaurs,152,3.82615,3,with,0.78
four,one_slider,numeral,undefined,many,frogs,153,1.6108333333333333,3,with,0.71
two,one_slider,every,undefined,none,frogs,154,2.0213833333333335,3,with,0.97
four,one_slider,every,undefined,all,frogs,155,1.5756833333333333,3,without,1
four,one_slider,numeral,undefined,none,frogs,156,1.3212333333333333,3,with,1
four,one_slider,every,undefined,all,frogs,157,1.2174333333333334,3,without,1
two,one_slider,numeral,undefined,all,dinosaurs,158,0.9856,3,without,0.04
four,one_slider,every,undefined,all,dinosaurs,159,1.71495,3,without,1
two,one_slider,numeral,undefined,none,frogs,160,2.76475,3,with,0.92
four,one_slider,every,undefined,all,frogs,161,2.4232666666666667,3,without,1
four,one_slider,numeral,undefined,none,lions,162,1.2829333333333333,3,with,0.98
four,one_slider,every,undefined,none,frogs,163,2.0218833333333333,3,without,0.97
two,one_slider,numeral,undefined,all,lions,164,0.9233666666666667,3,without,0.83
two,one_slider,numeral,undefined,none,frogs,165,1.5498166666666666,3,without,0.01
two,one_slider,every,undefined,all,lions,166,1.0545666666666667,3,with,0.99
four,one_slider,every,undefined,none,butterflies,167,3.4327833333333335,3,without,0.11
two,one_slider,every,undefined,many,frogs,168,2.0389666666666666,3,without,0.98
four,one_slider,every,undefined,many,frogs,169,1.4080166666666667,3,with,0.02
two,one_slider,every,undefined,many,butterflies,170,1.3292333333333333,3,without,0
four,one_slider,every,undefined,all,butterflies,171,0.7566166666666667,3,with,0.58
two,one_slider,every,undefined,none,frogs,172,2.749216666666667,3,without,0.31
four,one_slider,numeral,undefined,none,butterflies,173,1.6211333333333333,3,with,0.93
four,one_slider,every,undefined,many,lions,174,0.8302,3,with,0.4
two,one_slider,numeral,undefined,none,lions,175,1.0352833333333333,3,without,0
two,one_slider,every,undefined,all,butterflies,176,1.9416833333333334,3,with,1
two,one_slider,numeral,undefined,all,dinosaurs,177,2.064433333333333,3,without,0.04
four,one_slider,numeral,undefined,many,dinosaurs,178,2.0250166666666667,3,with,0.98
four,one_slider,every,undefined,all,dinosaurs,179,2.366416666666667,3,without,0.99
two,one_slider,every,undefined,many,butterflies,180,1.6984333333333332,3,with,0
four,one_slider,numeral,undefined,many,butterflies,181,2.3629166666666666,3,with,0.99
four,one_slider,every,undefined,many,butterflies,182,2.03355,3,with,0.97
four,one_slider,every,undefined,none,frogs,183,1.24415,3,without,0.07
four,one_slider,numeral,undefined,none,dinosaurs,184,1.81725,3,with,0.96
four,one_slider,numeral,undefined,none,dinosaurs,185,2.7833833333333335,3,with,0.52
two,one_slider,every,undefined,none,dinosaurs,186,1.37885,3,with,0
four,one_slider,numeral,undefined,none,lions,187,1.7829,3,without,0.99
two,one_slider,numeral,undefined,none,lions,188,2.0437333333333334,3,without,0.02
four,one_slider,numeral,undefined,all,butterflies,189,1.2020166666666667,3,with,0.99
four,one_slider,numeral,undefined,all,lions,190,1.5014333333333334,3,without,0.98
two,one_slider,numeral,undefined,all,lions,191,0.83095,3,without,0.15
four,one_slider,every,undefined,none,butterflies,192,2.3355166666666665,3,without,0.84
two,one_slider,numeral,undefined,many,butterflies,193,0.9992,3,without,0.54
two,one_slider,every,undefined,all,lions,194,1.5556166666666666,3,without,0.98
four,one_slider,every,undefined,none,butterflies,195,2.3648,3,with,0.98
two,one_slider,every,undefined,none,dinosaurs,196,1.9695166666666666,3,without,0
two,one_slider,numeral,undefined,none,lions,197,1.0016166666666666,3,without,0
two,one_slider,every,undefined,all,butterflies,198,1.8905,3,with,0.95
four,one_slider,numeral,undefined,none,butterflies,199,0.9709,3,with,0.98
two,one_slider,every,undefined,many,frogs,200,1.01735,3,with,0.96
four,one_slider,numeral,undefined,none,butterflies,201,1.55785,3,with,0.98
two,one_slider,numeral,undefined,all,frogs,202,4.027916666666667,3,with,0.01
four,one_slider,numeral,undefined,many,lions,203,1.3211666666666666,3,with,1
two,one_slider,every,undefined,many,frogs,204,2.70305,3,with,0.34
four,one_slider,every,undefined,none,lions,205,1.5264833333333334,3,without,0.01
four,one_slider,numeral,undefined,many,lions,206,1.2685666666666666,3,without,0.5
four,one_slider,numeral,undefined,many,lions,207,3.1513333333333335,3,with,0.97
two,one_slider,numeral,undefined,many,lions,208,2.0025666666666666,3,without,0.02
two,one_slider,numeral,undefined,none,frogs,209,0.9100833333333334,3,without,0.99
two,one_slider,every,undefined,many,lions,210,1.2435166666666666,3,without,0.72
two,one_slider,numeral,undefined,many,butterflies,211,1.58585,3,without,0.68
two,one_slider,numeral,undefined,none,dinosaurs,212,2.5497,3,with,0
two,one_slider,every,undefined,many,lions,213,6.515483333333333,3,without,0
four,one_slider,numeral,undefined,none,frogs,214,1.9802833333333334,3,without,0.98
two,one_slider,numeral,undefined,all,frogs,215,1.8816166666666667,3,with,0.34
two,one_slider,every,undefined,none,butterflies,216,1.9868333333333332,3,without,0
two,one_slider,every,undefined,all,frogs,217,2.1322,3,with,1
four,one_slider,every,undefined,all,dinosaurs,218,1.8376166666666667,3,with,1
four,one_slider,every,undefined,all,butterflies,219,2.8598666666666666,3,without,0.23
four,one_slider,every,undefined,none,dinosaurs,220,1.4560833333333334,3,with,0.51
two,one_slider,every,undefined,all,frogs,221,2.8127666666666666,3,without,1
four,one_slider,numeral,undefined,all,dinosaurs,222,1.85835,3,without,0.75
two,one_slider,numeral,undefined,many,butterflies,223,1.9202833333333333,3,with,0.15
four,one_slider,every,undefined,all,lions,224,1.5068833333333334,3,with,0.97
four,one_slider,numeral,undefined,all,lions,225,1.31035,3,without,1
four,one_slider,every,undefined,all,lions,226,1.8113666666666666,3,without,0.97
four,one_slider,every,undefined,none,lions,227,3.3937666666666666,3,with,0.16
two,one_slider,numeral,undefined,all,dinosaurs,228,1.9580666666666666,3,without,0.02
two,one_slider,every,undefined,all,frogs,229,1.6659833333333334,3,without,0.97
four,one_slider,numeral,undefined,all,frogs,230,3.3031166666666665,3,without,0.96
four,one_slider,every,undefined,none,lions,231,2.1365333333333334,3,with,0.01
two,one_slider,numeral,undefined,none,butterflies,232,3.2339166666666666,3,with,0.14
two,one_slider,numeral,undefined,none,frogs,233,1.7018166666666668,3,without,1
two,one_slider,numeral,undefined,many,lions,234,1.46555,3,with,0.4
two,one_slider,every,undefined,many,lions,235,2.012766666666667,3,without,0.87
two,one_slider,every,undefined,all,dinosaurs,236,1.3023333333333333,3,with,0.03
four,one_slider,numeral,undefined,all,dinosaurs,237,2.1860833333333334,3,without,1
two,one_slider,numeral,undefined,all,dinosaurs,238,1.0338,3,without,0.1
four,one_slider,numeral,undefined,many,dinosaurs,239,1.46745,3,with,0.96
two,one_slider,every,undefined,many,butterflies,240,0.3740833333333333,3,without,0.75
two,one_slider,every,undefined,many,dinosaurs,241,1.7450666666666668,3,without,0.01
two,one_slider,numeral,undefined,all,frogs,242,2.1899,3,with,0.99
four,one_slider,every,undefined,all,dinosaurs,243,1.55,3,without,1
four,one_slider,numeral,undefined,all,butterflies,244,1.6215166666666667,3,with,0.97
two,one_slider,every,undefined,all,frogs,245,3.1586666666666665,3,without,1
four,one_slider,every,undefined,all,dinosaurs,246,1.3320166666666666,3,with,1
two,one_slider,numeral,undefined,all,butterflies,247,2.3146166666666668,3,without,0
two,one_slider,numeral,undefined,none,butterflies,248,1.4036,3,with,0.02
four,one_slider,numeral,undefined,many,dinosaurs,249,2.9648,3,without,0.5
two,one_slider,numeral,undefined,all,dinosaurs,250,1.1892666666666667,3,without,0
two,one_slider,every,undefined,none,frogs,251,1.7858833333333333,3,without,0.01
two,one_slider,every,undefined,none,lions,252,1.1293,3,without,0.09
four,one_slider,numeral,undefined,none,butterflies,253,2.2068833333333333,3,without,1
two,one_slider,every,undefined,none,butterflies,254,1.1661666666666666,3,without,0
four,one_slider,every,undefined,all,lions,255,1.69635,3,with,0.47
two,one_slider,numeral,undefined,many,dinosaurs,256,1.1519,3,with,0
two,one_slider,every,undefined,all,frogs,257,1.6395333333333333,3,with,0.98
four,one_slider,numeral,undefined,all,frogs,258,3.6292333333333335,3,with,0.99
four,one_slider,every,undefined,many,lions,259,1.4773833333333333,3,with,0.96
four,one_slider,numeral,undefined,many,lions,260,1.6584666666666668,3,without,0.74
two,one_slider,every,undefined,many,dinosaurs,261,1.5114166666666666,3,without,0
four,one_slider,numeral,undefined,all,butterflies,262,5.52015,3,without,0.98
two,one_slider,numeral,undefined,all,butterflies,263,1.1142333333333334,3,without,0.86
two,one_slider,every,undefined,many,dinosaurs,264,1.2036666666666667,3,with,0.51
four,one_slider,numeral,undefined,all,frogs,265,1.9145166666666666,3,with,0.98
two,one_slider,numeral,undefined,none,dinosaurs,266,1.4758333333333333,3,without,0.05
four,one_slider,every,undefined,all,lions,267,1.1124833333333333,3,with,1
four,one_slider,numeral,undefined,many,lions,268,4.3036,3,with,0.99
four,one_slider,numeral,undefined,none,lions,269,1.1831,3,without,1
four,one_slider,numeral,undefined,many,frogs,270,2.17835,3,with,0.03
four,one_slider,numeral,undefined,all,lions,271,1.66475,3,without,1
two,one_slider,every,undefined,all,lions,272,1.001,3,without,0.98
four,one_slider,numeral,undefined,many,dinosaurs,273,1.43585,3,with,0.54
four,one_slider,every,undefined,many,lions,274,0.9659,3,without,0.47
four,one_slider,every,undefined,all,frogs,275,2.4822,3,without,1
four,one_slider,every,undefined,all,lions,276,0.92005,3,without,0.67
two,one_slider,numeral,undefined,none,frogs,277,2.9557166666666665,3,with,0.99
two,one_slider,numeral,undefined,all,frogs,278,2.5034,3,without,0.82
two,one_slider,every,undefined,many,butterflies,279,1.3156666666666668,3,without,0.01
four,one_slider,numeral,undefined,many,lions,280,2.6351833333333334,3,without,0.96
four,one_slider,every,undefined,many,butterflies,281,2.15955,3,with,0.63
two,one_slider,every,undefined,none,frogs,282,2.0026333333333333,3,with,0.99
two,one_slider,numeral,undefined,many,dinosaurs,283,1.9132166666666666,3,with,0
four,one_slider,numeral,undefined,all,dinosaurs,284,3.715716666666667,3,with,0.99
two,one_slider,every,undefined,none,dinosaurs,285,1.1060166666666666,3,without,0
two,one_slider,numeral,undefined,none,frogs,286,1.0378,3,without,0.02
two,one_slider,numeral,undefined,none,lions,287,1.50875,3,without,1
four,one_slider,every,undefined,many,dinosaurs,288,1.8114166666666667,3,with,0
two,one_slider,every,undefined,none,dinosaurs,289,1.6043,3,with,0
four,one_slider,every,undefined,none,butterflies,290,3.740266666666667,3,with,0
two,one_slider,numeral,undefined,all,lions,291,2.6861333333333333,3,without,0.07
four,one_slider,every,undefined,all,frogs,292,2.045933333333333,3,with,0.98
two,one_slider,every,undefined,none,lions,293,2.6044666666666667,3,without,0.49
two,one_slider,numeral,undefined,none,dinosaurs,294,1.4863,3,without,0.97
four,one_slider,numeral,undefined,all,butterflies,295,2.1126,3,without,0.97
two,one_slider,numeral,undefined,many,butterflies,296,0.30225,3,without,0.69
four,one_slider,every,undefined,many,butterflies,297,0.6840833333333334,3,with,0.98
four,one_slider,every,undefined,many,dinosaurs,298,1.27815,3,without,1
two,one_slider,numeral,undefined,all,dinosaurs,299,1.28445,3,without,0.15
